companyId,name,industry,hqCity,country,size
1,Global Finance 1,Gaming,Zaragoza,IT,1-10
2,Orbit Solutions 2,Cybersecurity,Valencia,NL,1-10
3,Prime Energy 3,AI,Lisboa,NL,11-50
4,Green Works 4,Software,Málaga,ES,1-10
5,Secure Studios 5,Real Estate,Brussels,BE,1-10
6,Green Media 6,Energy,Sevilla,DE,1000+
7,Tech Retail 7,Software,Milan,BE,11-50
8,Prime Studios 8,HealthTech,Zaragoza,ES,51-200
9,Blue AI 9,FinTech,Bilbao,UK,51-200
10,Orbit Holdings 10,FinTech,Porto,BE,51-200
11,Quantum Finance 11,Cybersecurity,Milan,IT,11-50
12,Urban Group 12,Retail,Murcia,IT,1-10
13,Rocket Manufacturing 13,Logistics,Málaga,DE,201-1000
14,Nimbus Health 14,Cybersecurity,Brussels,UK,51-200
15,Atlas Networks 15,AI,Berlin,DE,1000+
16,Astra Studios 16,FinTech,London,FR,1-10
17,Pulse Cloud 17,Cybersecurity,Valladolid,BE,51-200
18,Vertex Solutions 18,HealthTech,Málaga,IE,201-1000
19,Green Studios 19,Manufacturing,Valencia,DE,51-200
20,Astra Consulting 20,Media,Sevilla,ES,51-200
21,Tech Partners 21,Retail,London,IE,11-50
22,Fusion Labs 22,AI,Valladolid,DE,1000+
23,Prime Networks 23,Energy,Brussels,PT,1000+
24,Nimbus Energy 24,Media,Lisboa,DE,11-50
25,Data Finance 25,Real Estate,Barcelona,UK,201-1000
26,Next Networks 26,Biotech,Málaga,IE,1000+
27,Vertex AI 27,Software,Valladolid,ES,1000+
28,Tech Health 28,Logistics,Bilbao,IT,1-10
29,Fusion Media 29,Telecom,Lisboa,ES,1-10
30,Orbit Networks 30,Cybersecurity,Valladolid,UK,51-200
31,Astra Logistics 31,FinTech,Rome,IE,201-1000
32,Atlas Systems 32,AI,Valladolid,NL,201-1000
33,Next Studios 33,HealthTech,Madrid,DE,1-10
34,Tech Consulting 34,HealthTech,Lisboa,IT,11-50
35,Green Labs 35,Retail,Porto,BE,1-10
36,Data Cloud 36,Telecom,Sevilla,ES,51-200
37,Global Cloud 37,Media,Brussels,IT,51-200
38,Green Consulting 38,Biotech,Sevilla,FR,51-200
39,Blue Manufacturing 39,Cybersecurity,London,PT,1000+
40,Pulse AI 40,Real Estate,Dublin,UK,51-200
41,Orbit AI 41,FinTech,Murcia,UK,1-10
42,Astra Retail 42,Manufacturing,Zaragoza,PT,1-10
43,Orbit Systems 43,Retail,Madrid,DE,201-1000
44,Vertex Holdings 44,Real Estate,Sevilla,IE,11-50
45,Rocket Media 45,Media,Valladolid,NL,11-50
46,Pulse Networks 46,EdTech,Alicante,IE,201-1000
47,Quantum Security 47,Retail,Paris,DE,1-10
48,Urban Energy 48,Consulting,Valladolid,PT,11-50
49,Quantum Networks 49,HealthTech,Alicante,ES,201-1000
50,Green Cloud 50,Software,Dublin,BE,201-1000
51,Astra Cloud 51,HealthTech,Rome,PT,51-200
52,Nimbus Holdings 52,EdTech,Paris,BE,201-1000
53,Pulse Partners 53,Telecom,London,UK,51-200
54,Next Systems 54,AI,Berlin,DE,51-200
55,Prime Logistics 55,Consulting,Brussels,UK,1000+
56,Atlas Finance 56,Cybersecurity,Sevilla,ES,11-50
57,Next AI 57,HealthTech,Barcelona,ES,1000+
58,Urban AI 58,FinTech,Rome,PT,51-200
59,Nova Security 59,AI,Paris,IT,1-10
60,Nova Cloud 60,Real Estate,Zaragoza,FR,11-50
61,Astra Works 61,Logistics,Madrid,PT,11-50
62,Pulse Security 62,Real Estate,Valladolid,DE,11-50
63,Secure Labs 63,Consulting,Málaga,IE,201-1000
64,Blue Solutions 64,Real Estate,Berlin,IE,1-10
65,Green Cloud 65,FinTech,Málaga,ES,1000+
66,Astra Finance 66,Software,Dublin,DE,201-1000
67,Next Systems 67,Software,Amsterdam,UK,11-50
68,Pulse Media 68,Consulting,Bilbao,PT,1-10
69,Smart Partners 69,Biotech,Dublin,IE,1000+
70,Urban Finance 70,Energy,Porto,NL,1-10
71,Astra Works 71,Media,Milan,NL,1-10
72,Urban Media 72,Software,Bilbao,IT,11-50
73,Blue Studios 73,Real Estate,Madrid,DE,1000+
74,Nimbus Studios 74,Retail,Valencia,DE,201-1000
75,Next Cloud 75,Biotech,Milan,FR,51-200
76,Astra Partners 76,AI,Amsterdam,IT,51-200
77,Smart Holdings 77,Telecom,Amsterdam,BE,51-200
78,Atlas Networks 78,Cybersecurity,London,IE,51-200
79,Next Solutions 79,Real Estate,Bilbao,NL,11-50
80,Pulse Works 80,Consulting,Valladolid,NL,51-200
81,Global Works 81,Software,London,ES,11-50
82,Smart Manufacturing 82,HealthTech,Barcelona,NL,51-200
83,Tech Energy 83,Gaming,Madrid,ES,51-200
84,Blue Studios 84,Logistics,Milan,BE,11-50
85,Global Cloud 85,EdTech,Zaragoza,IT,1000+
86,Global Works 86,Manufacturing,Barcelona,NL,51-200
87,Nova Logistics 87,Cybersecurity,Paris,PT,51-200
88,Smart Security 88,Logistics,Málaga,IT,51-200
89,Rocket Consulting 89,Retail,Murcia,FR,201-1000
90,Fusion Holdings 90,Logistics,Valladolid,PT,51-200
91,Rocket Health 91,Consulting,Paris,IT,1-10
92,Blue Media 92,Biotech,Lisboa,BE,51-200
93,Quantum Studios 93,Cybersecurity,London,IT,201-1000
94,Quantum Solutions 94,Software,Berlin,PT,11-50
95,Atlas Works 95,Manufacturing,Amsterdam,BE,51-200
96,Blue Security 96,Logistics,Barcelona,IT,11-50
97,Vertex Solutions 97,Biotech,Milan,NL,1-10
98,Global Systems 98,Energy,Sevilla,IE,1000+
99,Next Works 99,Real Estate,Lisboa,ES,1-10
100,Rocket Media 100,Telecom,Zaragoza,BE,11-50
101,Fusion Finance 101,EdTech,Alicante,FR,51-200
102,Smart Solutions 102,Real Estate,Brussels,DE,1-10
103,Global Solutions 103,EdTech,Brussels,PT,1000+
104,Next AI 104,Retail,Sevilla,NL,1-10
105,Pulse Health 105,AI,Barcelona,PT,51-200
106,Vertex Finance 106,Consulting,Alicante,BE,51-200
107,Atlas Health 107,HealthTech,Berlin,FR,1-10
108,Green Consulting 108,Manufacturing,Málaga,BE,1000+
109,Prime Finance 109,Real Estate,Valladolid,UK,1-10
110,Rocket Finance 110,Gaming,Murcia,IT,201-1000
111,Next Health 111,Cybersecurity,Berlin,FR,1-10
112,Smart Health 112,HealthTech,Amsterdam,IT,1-10
113,Rocket Works 113,Telecom,Brussels,NL,1-10
114,Astra Consulting 114,Biotech,London,UK,1-10
115,Green Studios 115,Retail,Porto,BE,201-1000
116,Pulse Labs 116,Consulting,Bilbao,IE,1000+
117,Secure Health 117,EdTech,Murcia,UK,201-1000
118,Global Finance 118,AI,Dublin,FR,1000+
119,Pulse Media 119,Energy,Bilbao,IE,1000+
120,Rocket Studios 120,AI,Valencia,ES,1-10
121,Green AI 121,HealthTech,Sevilla,NL,201-1000
122,Secure AI 122,Manufacturing,Sevilla,FR,201-1000
123,Nimbus Labs 123,Telecom,Brussels,UK,1-10
124,Data Labs 124,Biotech,Porto,ES,11-50
125,Secure Networks 125,Biotech,Paris,FR,1000+
126,Fusion Holdings 126,Retail,Murcia,NL,201-1000
127,Smart AI 127,Retail,Málaga,IT,1000+
128,Prime Labs 128,Software,Sevilla,DE,1-10
129,Blue Solutions 129,Gaming,Berlin,BE,1-10
130,Secure Group 130,Real Estate,Zaragoza,DE,1000+
131,Orbit Media 131,Gaming,Porto,BE,11-50
132,Global Health 132,Cybersecurity,Paris,PT,1000+
133,Global Consulting 133,Logistics,Sevilla,PT,201-1000
134,Nova Systems 134,Media,Madrid,DE,51-200
135,Urban Logistics 135,Gaming,Valencia,FR,51-200
136,Global Retail 136,Manufacturing,Milan,BE,51-200
137,Vertex Security 137,Telecom,Rome,PT,1000+
138,Orbit Cloud 138,Software,Barcelona,IE,201-1000
139,Urban Holdings 139,Media,Barcelona,FR,11-50
140,Fusion Partners 140,Telecom,Alicante,NL,1-10
141,Rocket Security 141,Telecom,Porto,PT,201-1000
142,Atlas Security 142,FinTech,Rome,NL,11-50
143,Urban Systems 143,HealthTech,Barcelona,NL,1000+
144,Nova Studios 144,Cybersecurity,Dublin,UK,11-50
145,Tech Systems 145,Software,Zaragoza,BE,1000+
146,Vertex Solutions 146,Real Estate,Barcelona,IT,201-1000
